"Location","Species","lmax","age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq"
"Marquesas","Chaetodon ornatissimus",20,1,2.01179538877641,-23.4222987911117,10.2831819688186,6.94432838772842,-0.524049245839006,10.2868521486296
"Marquesas","Chaetodon ornatissimus",20,2,9.81529788355087,1.42552610258447,13.4697087702451,9.11662560507084,0.199019005550741,12.763254759279
"Marquesas","Chaetodon ornatissimus",20,3,10.8514598566599,1.707280026708,15.2076750416735,9.77595108494791,0.415946811523768,13.7081509403591
"Marquesas","Chaetodon ornatissimus",20,4,11.2418642763457,1.71143215837399,16.2030951378986,9.98234170023465,0.484921788923245,14.1343146007838
"Marquesas","Chaetodon ornatissimus",20,5,11.4036875954617,1.71149334724781,16.7190059428228,10.0488661565617,0.506853267397932,14.3081223245262
"Marquesas","Chaetodon ornatissimus",20,6,11.4731263090982,1.71149424897329,16.9875506161626,10.0709235644235,0.513826662188625,14.3737340212261
"Marquesas","Chaetodon ornatissimus",20,7,11.5038879951169,1.71149426226179,17.1433839921066,10.0784432215938,0.516043942476545,14.4070293601017
"Marquesas","Chaetodon ornatissimus",20,8,11.5179507089972,1.71149426245762,17.2000239867477,10.081078641174,0.516748955174486,14.4191692283135
"Marquesas","Chaetodon ornatissimus",20,9,11.5245838578657,1.7114942624605,17.2322303568348,10.0820282608851,0.516973123001606,14.4220696888
"Marquesas","Chaetodon ornatissimus",20,0,-451.838648277457,-2667.95775159287,1.45191254267186,-65253.9799729693,-482904.389260216,1.40557380529774
"Marquesas","Chaetodon ornatissimus",20,1,2.01179538877641,-23.4222987911117,10.2831819688186,-30.7937528036562,-217.521720029769,10.2647005177662
"Marquesas","Chaetodon ornatissimus",20,2,9.81529788355087,1.42552610258447,13.4697087702451,10.1424498751412,2.45997093749284,13.4937748006676
"Marquesas","Chaetodon ornatissimus",20,3,10.8514598566599,1.707280026708,15.2076750416735,11.2109249437692,2.62123795777029,15.0660014572348
"Marquesas","Chaetodon ornatissimus",20,4,11.2418642763457,1.71143215837399,16.2030951378986,11.6341333068053,2.62146418473447,15.9716399110118
"Marquesas","Chaetodon ornatissimus",20,5,11.4036875954617,1.71149334724781,16.7190059428228,11.811875260549,2.62146450208947,16.4775399723248
"Gambiers","Myripristis berndti",30,0,2.9071664136929,1.3444178569568,4.49683955002152,2.80803567702103,1.30152375791593,4.36848218345329
"Gambiers","Myripristis berndti",30,1,7.89048999617408,6.94441656326703,8.8533153203492,7.7123094650199,6.75819468558106,8.65086403134484
"Gambiers","Myripristis berndti",30,2,11.670721941955,10.8147171533612,12.5849110483073,11.5288927988554,10.6183572861646,12.4604120606427
"Gambiers","Myripristis berndti",30,3,14.5445922842268,13.6684537837974,15.4528941780574,14.5046197912349,13.6100188099631,15.4316007042548
"Gambiers","Myripristis berndti",30,4,16.7340528897928,15.794661019168,17.6218735483193,16.8290317552111,15.9753472791465,17.7201210219592
"Gambiers","Myripristis berndti",30,5,18.405538947752,17.328037974437,19.3453565254224,18.6479742629897,17.8039832820254,19.5447046126142
"Gambiers","Myripristis berndti",30,6,19.6841562187248,18.4125726169935,20.7559285771183,20.0738956862821,19.1319081224618,21.0480015658116
