"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Pristiapogon taeniopterus","Marquesas",4.6,8.53556770344507,0.199470740369801,8.14152230906717,8.92782528079031
"Pristiapogon taeniopterus","Marquesas",4.7,8.5637315161977,0.201840349473683,8.16589918909724,8.95843150109913
"Pristiapogon taeniopterus","Marquesas",4.8,8.5903100088028,0.204562839213425,8.18932416201394,8.98866041365976
"Pristiapogon taeniopterus","Marquesas",4.9,8.61539554952465,0.207586222330863,8.20676958619908,9.02160302737571
"Pristiapogon taeniopterus","Marquesas",5,8.63907492597849,0.210861683826913,8.22449149674862,9.05267536813649
"Pristiapogon taeniopterus","Marquesas",5.1,8.66142969554848,0.214344097268477,8.23728315044142,9.08287226522301
"Pristiapogon taeniopterus","Marquesas",5.2,8.68253651287438,0.217992296167261,8.25162023123226,9.11054320659166
"Pristiapogon taeniopterus","Marquesas",5.3,8.70246743597606,0.221769151500986,8.26671819647733,9.13477514868426
"Pristiapogon taeniopterus","Marquesas",5.4,8.72129021247212,0.225641504575717,8.27704220172569,9.16236166270587
"Pristiapogon taeniopterus","Marquesas",5.5,8.7390685472448,0.229579998607017,8.28853379160975,9.18682282891104
"Pristiapogon taeniopterus","Marquesas",5.6,8.75586235280718,0.233558844849945,8.29839176549771,9.21146863475288
"Pristiapogon taeniopterus","Marquesas",5.7,8.77172798353935,0.237555551345824,8.30761571546558,9.23322876044619
"Pristiapogon taeniopterus","Marquesas",5.8,8.78671845487807,0.241550635260828,8.31611622703249,9.25988051729785
"Pristiapogon taeniopterus","Marquesas",5.9,8.8008836484679,0.245527333781406,8.32466088123144,9.28302420702786
"Pristiapogon taeniopterus","Marquesas",6,8.81427050421121,0.249471323710069,8.3305428359438,9.30639354641402
"Pristiapogon taeniopterus","Marquesas",6.1,8.8269232000891,0.253370456201309,8.33514975301607,9.32921831017899
"Pristiapogon taeniopterus","Marquesas",6.2,8.83888332056432,0.257214510336959,8.34086344198077,9.34979964698153
"Pristiapogon taeniopterus","Marquesas",6.3,8.85019001432139,0.260994967282978,8.34509201055884,9.36834150770589
"Pristiapogon taeniopterus","Marquesas",6.4,8.86088014204673,0.264704805422484,8.35114604587779,9.38800503425139
"Pristiapogon taeniopterus","Marquesas",6.5,8.87098841490324,0.26833831597199,8.35628684565345,9.40618947996222
"Pristiapogon taeniopterus","Marquesas",6.6,8.88054752430909,0.271890938035834,8.35929807622535,9.42378447902935
"Pristiapogon taeniopterus","Marquesas",6.7,8.88958826358841,0.275359111740698,8.36276793851407,9.44195051410428
"Pristiapogon taeniopterus","Marquesas",6.8,8.89813964202354,0.278740147944361,8.36644487193638,9.45915491360818
"Pristiapogon taeniopterus","Marquesas",6.9,8.90622899180169,0.282032112975851,8.36908443253695,9.47344112368975
"Pristiapogon taeniopterus","Marquesas",7,8.9138820683164,0.285233726898617,8.37264462165512,9.48915538168966
"Pristiapogon taeniopterus","Marquesas",7.1,8.92112314425243,0.28834427386626,8.37521691294911,9.50397143396469
"Pristiapogon taeniopterus","Marquesas",7.2,8.9279750978544,0.291363523242465,8.37725596657654,9.51924653052261
"Pristiapogon taeniopterus","Marquesas",7.3,8.93445949575231,0.294291660269919,8.37918211650741,9.53265991905906
"Pristiapogon taeniopterus","Marquesas",7.4,8.94059667069241,0.297129225188667,8.38155963684128,9.54466989987911
"Pristiapogon taeniopterus","Marquesas",7.5,8.94640579449856,0.299877059817003,8.38300451047905,9.5584476515592
"Pristiapogon taeniopterus","Marquesas",7.6,8.95190494656764,0.302536260714482,8.38464865578095,9.57060716898104
"Pristiapogon taeniopterus","Marquesas",7.7,8.95711117818256,0.305108138145147,8.3860545340977,9.58181975640077
"Pristiapogon taeniopterus","Marquesas",7.8,8.96204057290764,0.307594180148883,8.38774504330102,9.59249250056886
"Pristiapogon taeniopterus","Marquesas",7.9,8.96670830331359,0.309996021109754,8.38947492140887,9.60479739699593
"Pristiapogon taeniopterus","Marquesas",8,8.97112868426358,0.312315414282641,8.39046495639986,9.61505921208935
